,name,nickname,wins_x,losses_x,draws_x,height_x,weight,reach_x,stance,dOB,sig_strikes_landed_per_min,sig_striking_accuracy_%,sig_strike_absorbed_per_min,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent),takedown_average(average_takedown_landed_per_fifteen_min),takedown_accuracy_%,takedown_defense(%_of_opponent_takedown_not_landed),sub_average(average_subs_attempted_per_15_mins),wins_y,losses_y,draws_y,height_y,reach_y,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time,_merge
611,Cameron Smotherman,The BabyFaced Killa,8.0,4.0,0,"5' 9""",135 lbs.,"69""",Orthodox,"Sep 17, 1997",4.0,36%,13.0,35%,0.0,0%,0%,0.0,0.0,1.0,0.0,,,25.0,"Houston, United States",36%,4 of 11,,,4.0,0.0,35%,0.0,13.0,0.0,,01:00,both
612,Cameron VanCamp,Jumpman,15.0,7.0,1 (1 NC),"6' 2""",155 lbs.,"74""",Switch,"Apr 27, 1993",5.31,47%,6.41,40%,0.0,0%,0%,0.0,15.0,7.0,1.0,74.0,74.0,30.0,"Indianapolis, United States",48%,34 of 71,,,5.31,0.0,41%,0.0,6.41,0.0,,03:12,both
613,Canaan Kawaihae,374,6.0,2.0,0 (1 NC),"6' 0""",145 lbs.,"71""",Southpaw,"Aug 26, 1997",2.83,51%,4.59,36%,0.0,0%,100%,0.0,4.0,2.0,0.0,72.0,71.0,25.0,"Honolulu, United States",52%,82 of 159,0%,,2.83,0.0,37%,0.52,4.59,0.0,100%,14:30,both
614,Caol Uno,Uno Shoten,33.0,19.0,5,"5' 7""",155 lbs.,"70""",Southpaw,"May 08, 1975",1.91,49%,1.9,50%,1.95,31%,37%,0.5,25.0,13.0,5.0,67.0,,,"Kanagawa, Japan",55%,266 of 487,31%,,2.15,2.42,51%,0.0,2.83,0.24,38%,12:24,both
615,Caolan Loughran,The Don,9.0,1.0,0,"5' 6""",135 lbs.,"68""",Orthodox,"May 18, 1996",6.27,47%,5.73,56%,2.5,33%,0%,0.0,9.0,1.0,0.0,66.0,68.0,27.0,"Tyrone, Ireland",45%,43 of 96,42%,,2.87,5.0,55%,0.0,5.8,0.0,,15:00,both
617,Carl Deaton,The Anishinaabe Kid,17.0,7.0,0 (2 NC),"5' 7""",155 lbs.,"69""",Orthodox,"Nov 24, 1989",1.53,31%,1.85,61%,0.0,0%,50%,0.0,17.0,7.0,0.0,67.0,69.0,33.0,"Pontiac, United States",32%,38 of 120,0%,,1.53,0.0,61%,0.0,1.85,0.0,50%,12:28,both
621,Carla Esparza,Cookie Monster,20.0,7.0,0,"5' 1""",115 lbs.,"63""",Orthodox,"Oct 10, 1987",2.16,40%,2.69,55%,3.22,35%,47%,0.3,20.0,7.0,0.0,61.0,63.0,36.0,"Los Angeles, United States",40%,453 of 1124,35%,25 of 128,2.16,3.22,55%,0.0,2.69,0.29,47%,13:57,both
625,Carlo Prater,Neo,31.0,18.0,1,"5' 11""",155 lbs.,"72""",Switch,"Jun 25, 1981",2.03,47%,4.07,35%,0.43,9%,57%,1.7,30.0,12.0,1.0,71.0,,41.0,Brazil,47%,71 of 151,9%,,2.03,0.43,35%,0.0,4.07,1.72,57%,05:55,both
628,Carlos Candelario,The Cannon,8.0,3.0,0,"5' 8""",125 lbs.,"68""",Southpaw,"Jun 04, 1991",3.97,46%,5.17,44%,2.28,36%,53%,0.3,8.0,3.0,0.0,68.0,68.0,32.0,"New Britain, United States",47%,209 of 446,36%,2 of 22,3.97,2.28,44%,0.0,5.17,0.28,54%,13:10,both
629,Carlos Condit,The Natural Born Killer,32.0,14.0,0,"6' 2""",170 lbs.,"75""",Orthodox,"Apr 26, 1984",3.66,39%,2.67,55%,0.59,46%,38%,1.0,32.0,14.0,0.0,74.0,75.5,39.0,"Albuquerque, United States",39%,1113 of 2849,46%,7 of 26,3.66,0.59,55%,0.39,2.67,0.99,39%,12:10,both
630,Carlos Eduardo Rocha,Ta Danado,9.0,4.0,0,"5' 10""",170 lbs.,"73""",Orthodox,"Jul 12, 1981",1.24,34%,1.85,55%,0.0,0%,52%,1.4,9.0,2.0,0.0,70.0,,,Brazil,34%,40 of 117,0%,,1.24,0.0,56%,0.0,1.85,1.39,53%,09:05,both
631,Carlos Felipe,Boi,11.0,2.0,0,"6' 0""",245 lbs.,"75""",Orthodox,"Jan 12, 1995",4.88,45%,5.6,50%,0.0,0%,72%,0.0,11.0,2.0,0.0,72.0,75.0,28.0,"Feira de Santana, Brazil",46%,366 of 804,0%,,4.88,0.0,51%,0.0,5.6,0.0,73%,15:00,both
632,Carlos Hernandez,312,9.0,3.0,0,"5' 8""",125 lbs.,"67""",Orthodox,"Oct 25, 1993",4.95,46%,4.54,46%,1.11,15%,65%,0.3,9.0,3.0,0.0,68.0,67.0,30.0,"Chicago, United States",46%,268 of 582,15%,2 of 26,4.95,1.11,47%,0.0,4.54,0.28,66%,10:50,both
633,Carlos Huachin,Perro Malo,10.0,5.0,1,"5' 4""",135 lbs.,"67""",Southpaw,"Jun 04, 1996",2.1,21%,4.8,50%,0.0,0%,66%,0.0,10.0,5.0,1.0,64.0,67.0,27.0,"Callao Region, Peru",21%,52 of 242,,,2.1,0.0,50%,0.0,4.8,0.0,67%,12:25,both
634,Carlos Mota,Tizil,8.0,2.0,0,"5' 4""",125 lbs.,"69""",Orthodox,"Apr 15, 1995",0.8,41%,1.13,54%,0.0,0%,50%,1.0,8.0,2.0,0.0,64.0,69.0,28.0,"Medicilândia, Brazil",41%,12 of 29,,,0.8,0.0,54%,0.0,1.13,1.0,50%,15:00,both
635,Carlos Newton,The Ronin,16.0,14.0,0,"5' 9""",170 lbs.,--,Orthodox,"Aug 17, 1976",0.65,41%,1.55,44%,2.47,70%,43%,0.9,13.0,8.0,0.0,69.0,,46.0,Anguilla,41%,87 of 211,71%,,0.65,2.47,45%,0.0,1.55,0.9,44%,12:07,both
636,Carlos Prates,The Nightmare,18.0,6.0,0,"6' 1""",170 lbs.,"78""",Switch,"Aug 17, 1993",4.38,56%,5.95,37%,0.0,0%,66%,0.0,18.0,6.0,0.0,73.0,78.0,30.0,"State of São Paulo, Brazil",56%,67 of 119,,,4.38,0.0,38%,1.96,5.95,0.0,67%,07:39,both
637,Carlos Ulberg,Black Jag,10.0,1.0,0,"6' 4""",205 lbs.,"77""",Orthodox,"Nov 07, 1990",7.29,59%,3.59,52%,0.95,75%,75%,0.3,10.0,1.0,0.0,76.0,77.0,32.0,"Auckland, New Zealand",60%,345 of 578,75%,2 of 4,7.29,0.95,52%,1.59,3.59,0.32,75%,06:45,both
638,Carlos Vera,Pequeno,11.0,4.0,0,"5' 6""",135 lbs.,"69""",Orthodox,"Nov 05, 1987",0.8,48%,2.53,45%,0.0,0%,0%,0.0,11.0,4.0,0.0,66.0,69.5,36.0,Ecuador,48%,12 of 25,,,0.8,0.0,46%,0.0,2.53,0.0,,15:00,both
640,Carls John De Tomas,CJ,6.0,2.0,0,"5' 5""",125 lbs.,"71""",Southpaw,"Aug 28, 1996",1.74,37%,3.93,44%,1.37,33%,66%,0.0,8.0,2.0,0.0,65.0,71.0,26.0,,37%,38 of 102,33%,,1.74,1.37,45%,0.0,3.93,0.0,67%,10:57,both
641,Carlston Harris,Mocambique,19.0,5.0,0,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 09, 1987",2.93,49%,2.44,53%,2.05,29%,55%,0.8,19.0,5.0,0.0,72.0,76.0,36.0,"Skeldon, Guyana",50%,107 of 215,29%,,2.93,2.05,53%,0.41,2.44,0.82,56%,07:18,both
643,Carlton Minus,Clutch,10.0,3.0,0 (1 NC),"5' 10""",170 lbs.,"75""",Orthodox,"Apr 26, 1993",3.5,40%,4.97,50%,0.0,0%,58%,0.0,10.0,3.0,0.0,70.0,75.0,30.0,"Urbana, United States",40%,105 of 262,0%,,3.5,0.0,50%,0.0,4.97,0.0,59%,15:00,both
644,Carmelo Marrero,The Fury,16.0,6.0,0 (1 NC),"6' 0""",205 lbs.,"73""",Orthodox,"Jan 26, 1981",0.84,34%,2.04,54%,3.21,36%,36%,0.9,10.0,2.0,1.0,72.0,,42.0,"Douglasville, United States",34%,43 of 125,37%,,0.84,3.21,54%,0.0,2.04,0.87,36%,10:18,both
645,Caros Fodor,The Future,11.0,6.0,0,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 07, 1984",2.76,54%,2.83,54%,2.1,25%,50%,0.0,7.0,3.0,0.0,69.0,76.0,39.0,"Redmond, United States",51%,47 of 92,23%,,3.13,3.0,54%,0.0,5.4,0.0,50%,15:00,both
652,Casey ONeill,King,9.0,2.0,0,"5' 6""",125 lbs.,"69""",Orthodox,"Oct 07, 1997",8.41,54%,6.3,56%,1.77,38%,66%,0.7,9.0,2.0,0.0,66.0,69.0,26.0,"Irvine, Scotland",55%,569 of 1038,38%,8 of 21,8.41,1.77,57%,0.0,6.3,0.67,67%,11:17,both
655,Cat Zingano,Alpha,10.0,4.0,0,"5' 6""",145 lbs.,"68""",Southpaw,"Jul 01, 1982",2.57,61%,1.63,47%,2.77,65%,42%,0.8,10.0,4.0,0.0,66.0,68.0,40.0,"Winona, United States",61%,181 of 295,65%,13 of 20,2.57,2.77,47%,0.0,1.63,0.85,43%,10:04,both
656,Cathal Pendred,The Punisher,17.0,4.0,1,"6' 1""",170 lbs.,"75""",Orthodox,"Sep 02, 1987",2.49,44%,3.01,55%,2.46,23%,83%,0.4,17.0,5.0,1.0,73.0,75.0,35.0,United States,45%,182 of 407,24%,,2.49,2.46,56%,0.0,3.01,0.41,83%,12:12,both
657,Cedric Doumbe,187,2.0,0.0,0,"5' 10""",170 lbs.,--,,"Aug 13, 1992",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,,,,,,,0%,,,,,,,,,00:00,both
658,Cesar Almeida,Cesinha,5.0,0.0,0,"6' 1""",185 lbs.,"74""",Orthodox,"Mar 28, 1988",4.5,64%,1.31,50%,0.0,0%,62%,0.0,5.0,0.0,0.0,73.0,74.0,36.0,Brazil,65%,100 of 154,,,4.5,0.0,51%,0.0,1.31,0.0,63%,11:07,both
659,Cesar Arzamendia,Goku,8.0,3.0,0,"5' 11""",155 lbs.,--,Orthodox,"Jan 31, 1991",5.37,45%,5.2,56%,7.32,75%,0%,2.4,7.0,4.0,0.0,71.0,71.0,32.0,Paraguay,45%,33 of 73,75%,,5.37,7.32,56%,0.0,5.2,2.44,,03:05,both
661,Cesar Marscucci,469,3.0,2.0,0,--,--,--,,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,,,,Brazil,,,37%,,,,,,,,,,both
662,Cezar Ferreira,Mutante,13.0,8.0,0,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985",1.9,42%,2.44,53%,2.69,53%,84%,0.5,14.0,8.0,0.0,73.0,78.5,38.0,"Ibitinga, Brazil",43%,297 of 693,54%,23 of 52,1.9,2.69,54%,0.19,2.44,0.48,85%,10:25,both
663,Chad Anheliger,The Monster,13.0,7.0,0,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 01, 1986",3.6,45%,3.11,53%,0.82,30%,42%,0.6,13.0,7.0,0.0,66.0,64.5,37.0,"Kelowna, Canada",46%,264 of 577,31%,,3.6,0.82,54%,0.61,3.11,0.61,43%,14:40,both
667,Chad Griggs,The Grave Digger,11.0,3.0,0,"6' 1""",205 lbs.,"73""",Orthodox,"May 15, 1978",2.67,50%,2.22,46%,1.51,66%,41%,0.0,11.0,3.0,0.0,73.0,,,United States,51%,53 of 104,67%,,2.67,1.51,46%,1.51,2.22,0.0,42%,03:58,both
668,Chad Hanekom,Superman,9.0,3.0,0,"6' 4""",185 lbs.,"74""",Orthodox,"Apr 20, 1990",0.73,47%,1.47,33%,0.0,0%,71%,1.0,0.0,1.0,0.0,,,33.0,,48%,11 of 23,0%,,0.73,0.0,33%,0.0,1.47,1.0,71%,15:00,both
669,Chad Johnson,Big Rigg,6.0,2.0,0,"6' 2""",230 lbs.,"80""",Orthodox,"Jul 22, 1986",5.92,68%,7.8,40%,0.0,0%,0%,0.0,6.0,2.0,0.0,,,36.0,"Marinette, United States",69%,22 of 32,0%,,5.92,0.0,41%,0.0,7.8,0.0,,03:43,both
670,Chad Laprise,The Disciple,13.0,4.0,0,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 23, 1986",4.78,42%,3.59,65%,1.05,54%,78%,0.0,14.0,4.0,0.0,70.0,71.0,36.0,"Windsor, Canada",43%,410 of 958,55%,6 of 11,4.78,1.05,65%,0.52,3.59,0.0,79%,08:35,both
672,Chad Mendes,Money,18.0,5.0,0,"5' 6""",145 lbs.,"66""",Orthodox,"May 01, 1985",2.78,49%,2.35,67%,4.13,55%,100%,0.3,18.0,5.0,0.0,66.0,66.0,38.0,"Hanford, United States",50%,454 of 910,56%,24 of 81,2.78,4.13,67%,0.73,2.35,0.28,100%,09:05,both
673,Chad Reiner,The Grinder,33.0,18.0,0,"5' 11""",170 lbs.,--,Orthodox,"Jun 29, 1981",0.53,20%,1.97,46%,0.99,33%,25%,2.0,13.0,2.0,0.0,71.0,,41.0,"Omaha, United States",21%,8 of 39,33%,,0.53,0.99,46%,0.0,1.97,1.97,25%,07:37,both
678,Chael Sonnen,736,29.0,15.0,1,"6' 1""",205 lbs.,"73""",Southpaw,"Apr 03, 1977",3.08,43%,1.1,62%,3.81,59%,66%,0.4,29.0,14.0,1.0,73.0,74.0,46.0,"Milwaukie, United States",44%,565 of 1288,59%,,3.1,3.78,63%,0.0,1.12,0.41,67%,10:58,both
680,Chan Sung Jung,The Korean Zombie,17.0,8.0,0,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 17, 1987",3.93,41%,4.52,52%,0.7,44%,72%,0.6,17.0,8.0,0.0,67.0,72.0,36.0,South Korea,41%,678 of 1635,44%,5 of 18,3.93,0.7,52%,0.43,4.52,0.61,73%,12:20,both
683,Chance Rencountre,Black Eagle,14.0,4.0,0,"6' 2""",170 lbs.,"75""",Southpaw,"Dec 31, 1986",1.1,20%,3.62,49%,1.35,26%,16%,0.3,14.0,4.0,0.0,74.0,75.0,36.0,"Grand Island, United States",21%,49 of 239,27%,,1.1,1.35,49%,0.0,3.62,0.34,17%,11:07,both
684,Chandler Cole,The Hammer,10.0,4.0,0,"5' 10""",264 lbs.,"72""",Orthodox,"Jan 09, 1995",2.45,60%,3.59,26%,0.0,0%,0%,0.0,0.0,1.0,0.0,,,,,60%,15 of 25,0%,,2.45,0.0,27%,0.0,3.59,0.0,,06:08,both
688,Charalampos Grigoriou,Ferocious,8.0,4.0,0,"5' 7""",135 lbs.,"67""",Orthodox,"Mar 31, 1992",2.13,40%,5.56,46%,3.75,80%,100%,0.0,8.0,4.0,0.0,67.0,67.5,31.0,Cyprus,40%,34 of 85,80%,4 of 5,2.13,3.75,46%,0.94,5.56,0.0,100%,08:00,both
691,Charles Byrd,Kid Dynamite,10.0,7.0,0,"5' 10""",185 lbs.,"73""",Orthodox,"Oct 11, 1983",3.43,55%,2.63,55%,2.5,50%,40%,1.5,10.0,7.0,0.0,70.0,73.0,39.0,"Pine Bluff, United States",56%,103 of 185,50%,1 of 10,3.43,2.5,56%,0.0,2.63,1.5,40%,05:00,both
692,Charles Johnson,InnerG,14.0,6.0,0,"5' 9""",125 lbs.,"70""",Switch,"Jan 10, 1991",4.45,55%,3.15,59%,0.48,23%,63%,0.6,14.0,6.0,0.0,69.0,70.0,33.0,"Topeka, United States",55%,421 of 765,23%,,4.45,0.48,59%,0.0,3.15,0.63,63%,13:30,both
693,Charles Jourdain,Air,15.0,7.0,1,"5' 9""",145 lbs.,"69""",Switch,"Nov 27, 1995",5.56,48%,4.31,57%,0.09,10%,48%,0.6,15.0,7.0,1.0,69.0,69.0,28.0,"Longueuil, Canada",49%,904 of 1856,10%,,5.56,0.09,58%,0.55,4.31,0.55,49%,12:31,both
694,Charles McCarthy,Chainsaw,10.0,5.0,0,"5' 10""",185 lbs.,"71""",Orthodox,"Aug 06, 1980",0.18,12%,4.03,56%,2.67,60%,0%,2.7,10.0,5.0,0.0,72.0,,42.0,"Miami, United States",12%,3 of 25,60%,,0.18,2.67,56%,0.0,4.03,2.67,,05:38,both
696,Charles Oliveira,Do Bronxs,34.0,10.0,0 (1 NC),"5' 10""",155 lbs.,"74""",Orthodox,"Oct 17, 1989",3.39,53%,3.2,51%,2.17,40%,55%,2.8,34.0,10.0,0.0,70.0,74.0,34.0,"State of São Paulo, Brazil",54%,796 of 1478,40%,26 of 85,3.39,2.17,51%,0.51,3.2,2.81,55%,07:07,both
697,Charles Radtke,Chuck Buffalo,9.0,3.0,0,"5' 9""",170 lbs.,"72""",Orthodox,"Jul 09, 1990",3.29,52%,3.03,54%,0.76,16%,100%,0.0,9.0,3.0,0.0,69.0,72.0,33.0,"Lake Forest, United States",23%,21 of 91,,,,,,,,,,00:00,both
698,Charles Rosa,Boston Strong,14.0,8.0,0,"5' 9""",145 lbs.,"69""",Switch,"Aug 24, 1986",3.08,36%,3.86,47%,1.67,35%,38%,1.0,14.0,8.0,0.0,69.0,69.0,36.0,"Peabody, United States",36%,553 of 1524,35%,14 of 57,3.08,1.67,47%,0.0,3.86,1.0,38%,13:48,both
699,Charlie Brenneman,The Spaniard,19.0,8.0,0,"5' 10""",155 lbs.,"70""",Orthodox,"Feb 09, 1981",1.52,56%,1.55,46%,4.23,42%,72%,0.0,19.0,8.0,0.0,70.0,72.0,42.0,"Hollidaysburg, United States",57%,129 of 228,42%,,1.52,4.23,47%,0.0,1.55,0.0,73%,07:44,both
700,Charlie Campbell,The Cannibal,9.0,2.0,0,"6' 0""",155 lbs.,"72""",Orthodox,"Jul 03, 1995",5.55,54%,3.73,55%,2.95,40%,71%,0.0,9.0,2.0,0.0,72.0,72.5,28.0,"New York, United States",54%,113 of 209,40%,,5.55,2.95,55%,0.74,3.73,0.0,71%,06:47,both
702,Charlie Ontiveros,American Bad Boy,11.0,9.0,0,"6' 2""",155 lbs.,"74""",Switch,"Jul 04, 1991",1.89,41%,5.86,31%,0.0,0%,30%,0.0,11.0,9.0,0.0,74.0,74.0,31.0,"Houston, United States",41%,31 of 75,,,1.89,0.0,31%,1.83,5.86,0.0,30%,04:06,both
703,Charlie Valencia,799,12.0,7.0,0,"5' 3""",135 lbs.,"64""",Orthodox,"Oct 31, 1974",2.58,37%,2.61,77%,1.4,53%,75%,0.5,12.0,7.0,0.0,63.0,,48.0,"Los Angeles, United States",38%,221 of 584,53%,,2.58,1.4,78%,0.7,2.61,0.52,75%,08:35,both
704,Charlie Ward,Relentless,3.0,3.0,0,"5' 11""",170 lbs.,--,Orthodox,"Dec 17, 1980",1.64,19%,7.21,53%,0.0,0%,0%,0.0,3.0,3.0,0.0,71.0,73.0,42.0,"Portlaoise, Ireland",19%,5 of 26,0%,,1.64,0.0,53%,0.0,7.21,0.0,,01:32,both
706,Chas Skelly,The Scrapper,19.0,3.0,0 (1 NC),"5' 11""",145 lbs.,"72""",Orthodox,"May 11, 1985",2.01,40%,3.21,49%,1.74,34%,39%,2.3,19.0,3.0,0.0,71.0,72.5,38.0,"Bedford, United States",41%,226 of 555,34%,10 of 38,2.01,1.74,49%,0.27,3.21,2.27,39%,09:21,both
708,Chase Gibson,El Guero,9.0,5.0,0,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 07, 1990",3.13,54%,6.4,52%,0.0,0%,0%,0.0,0.0,1.0,0.0,,,33.0,"Los Angeles, United States",55%,47 of 86,0%,,3.13,0.0,52%,0.0,6.4,0.0,,15:00,both
709,Chase Gormley,276,14.0,6.0,0 (1 NC),"6' 3""",265 lbs.,--,Orthodox,--,3.6,42%,6.03,44%,3.12,42%,0%,1.0,6.0,2.0,0.0,75.0,,,"Los Angeles, United States",34%,10 of 29,33%,,2.06,3.09,45%,0.0,17.94,3.09,,02:26,both
710,Chase Hooper,The Dream,13.0,3.0,1,"6' 1""",155 lbs.,"74""",Southpaw,"Sep 13, 1999",4.86,51%,3.59,36%,1.42,22%,55%,2.2,13.0,3.0,1.0,73.0,74.0,24.0,"Enumclaw, United States",52%,462 of 896,23%,1 of 40,4.86,1.42,36%,0.0,3.59,2.21,56%,10:34,both
711,Chase Sherman,The Vanilla Gorilla,16.0,12.0,0,"6' 4""",250 lbs.,"78""",Orthodox,"Nov 16, 1989",6.04,45%,6.65,52%,0.09,50%,74%,0.0,16.0,12.0,0.0,76.0,78.0,33.0,"Biloxi, United States",45%,969 of 2131,50%,,6.04,0.09,52%,0.28,6.65,0.0,74%,10:41,both
712,Chase Waldon,818,11.0,2.0,0,"6' 1""",185 lbs.,"75""",Orthodox,"Sep 19, 1986",1.03,28%,6.72,38%,7.76,33%,0%,0.0,11.0,3.0,0.0,73.0,75.0,36.0,"Hudson, United States",29%,2 of 7,33%,,1.03,7.76,38%,0.0,6.72,0.0,,01:56,both
714,Che Mills,Beautiful,16.0,10.0,0 (3 NC),"6' 1""",170 lbs.,"76""",Orthodox,"Sep 29, 1982",2.08,52%,2.87,43%,1.18,66%,58%,0.0,15.0,6.0,0.0,73.0,,40.0,"Gloucester, United Kingdom",52%,53 of 101,67%,,2.08,1.18,43%,1.18,2.87,0.0,59%,06:22,both
715,Cheick Kongo,393,27.0,10.0,2,"6' 4""",240 lbs.,"82""",Orthodox,"May 17, 1975",3.33,56%,1.28,54%,2.3,56%,52%,0.2,28.0,8.0,2.0,76.0,,48.0,"Paris, France",58%,574 of 987,63%,,3.51,2.2,55%,0.37,1.63,0.28,53%,09:05,both
717,Chelsea Chandler,122,6.0,2.0,0,"5' 8""",135 lbs.,"68""",Southpaw,"Nov 23, 1990",3.45,45%,3.09,49%,1.31,60%,33%,0.0,6.0,2.0,0.0,68.5,68.0,33.0,"Stockton, United States",45%,118 of 261,60%,,3.45,1.31,49%,0.0,3.09,0.0,33%,11:25,both
718,Chelsea Hackett,Hammer,3.0,1.0,1,"5' 4""",125 lbs.,"66""",Switch,"Aug 16, 1998",2.58,51%,4.85,46%,0.0,0%,57%,0.0,0.0,1.0,0.0,,,24.0,Australia,51%,25 of 49,,,2.58,0.0,47%,0.0,4.85,0.0,57%,09:41,both
719,Chepe Mariscal,Machine Gun,16.0,6.0,1,"5' 7""",145 lbs.,"69""",Orthodox,"Oct 27, 1992",4.7,52%,3.68,52%,2.35,28%,66%,0.4,16.0,6.0,0.0,67.0,69.0,31.0,"Cicero, United States",53%,180 of 341,29%,4 of 21,4.7,2.35,53%,0.0,3.68,0.39,67%,12:46,both
720,Cheyanne Vlismas,The Warrior Princess,7.0,3.0,0,"5' 3""",115 lbs.,"63""",Switch,"Jun 25, 1995",4.93,50%,2.57,64%,0.25,33%,66%,0.2,7.0,3.0,0.0,63.0,63.0,27.0,"St. Petersburg, United States",51%,301 of 591,33%,1 of 3,4.93,0.25,65%,0.25,2.57,0.25,67%,12:12,both
721,Cheyden Leialoha,Steadfast,6.0,0.0,0,"5' 8""",135 lbs.,"73""",Orthodox,"Mar 15, 1994",1.87,28%,3.2,53%,2.0,33%,71%,0.0,6.0,1.0,0.0,68.0,73.0,29.0,"Puna, United States",29%,28 of 98,33%,,1.87,2.0,54%,0.0,3.2,0.0,71%,15:00,both
722,Chi LewisParry,Chopper,7.0,0.0,1 (2 NC),"6' 9""",243 lbs.,--,,"Aug 10, 1983",0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,,,39.0,"Hitchin, United Kingdom",,,26%,5 of 34,,,,,,,,,both
723,Chibwikem Onyenegecha,566,5.0,0.0,0,"6' 3""",185 lbs.,--,Orthodox,"Apr 18, 1994",5.6,55%,3.4,52%,0.0,0%,100%,0.0,6.0,0.0,0.0,75.0,,29.0,"Oakland, United States",55%,84 of 152,,,5.6,0.0,52%,0.0,3.4,0.0,100%,15:00,both
724,Chico Camus,The King,17.0,7.0,0 (1 NC),"5' 6""",125 lbs.,"66""",Orthodox,"Jan 26, 1985",2.58,41%,2.46,64%,0.77,40%,72%,0.4,14.0,7.0,0.0,66.0,66.0,38.0,United States,41%,302 of 733,40%,,2.58,0.77,65%,0.0,2.46,0.39,72%,14:36,both
725,Chidi Njokuani,Bang Bang,23.0,10.0,0 (1 NC),"6' 3""",170 lbs.,"80""",Orthodox,"Dec 31, 1988",4.09,61%,2.94,55%,0.0,0%,74%,0.2,23.0,10.0,0.0,75.0,80.0,35.0,"Dallas, United States",62%,296 of 480,0%,,4.09,0.0,56%,0.62,2.94,0.21,74%,09:03,both
727,Chris Avila,48,5.0,4.0,0,"5' 10""",145 lbs.,--,Orthodox,"Jan 16, 1993",2.37,30%,4.17,48%,0.0,0%,46%,0.0,5.0,4.0,0.0,70.0,72.0,30.0,"Stockton, United States",30%,71 of 233,0%,,2.37,0.0,49%,0.0,4.17,0.0,46%,15:00,both
728,Chris Barnett,Beastboy,23.0,8.0,0,"5' 9""",265 lbs.,"75""",Orthodox,"Jun 14, 1986",4.41,48%,5.87,40%,0.0,0%,33%,0.0,23.0,8.0,0.0,69.0,75.0,37.0,Spain,49%,148 of 305,0%,,4.41,0.0,41%,0.45,5.87,0.0,33%,08:23,both
730,Chris Beal,Real Deal,10.0,5.0,0,"5' 7""",125 lbs.,"69""",Orthodox,"Aug 06, 1985",3.45,35%,3.18,61%,1.6,58%,78%,0.2,10.0,3.0,0.0,66.0,69.0,37.0,United States,36%,226 of 629,58%,,3.45,1.6,62%,0.23,3.18,0.23,78%,13:06,both
731,Chris Birchler,The Big Buck,7.0,4.0,0,"6' 3""",205 lbs.,--,Switch,"Jun 05, 1987",9.35,46%,14.83,35%,0.0,0%,0%,0.0,7.0,4.0,0.0,75.0,,36.0,"Livingston, United States",47%,41 of 88,,,9.35,0.0,35%,0.0,14.83,0.0,,04:23,both
733,Chris Brennan,The Westside Strangler,21.0,13.0,1,"5' 8""",170 lbs.,--,Orthodox,"Oct 12, 1971",0.6,40%,0.97,50%,0.0,0%,25%,2.1,11.0,5.0,1.0,68.0,,44.0,"Compton, United States",35%,8 of 23,0%,,0.53,0.0,50%,0.0,2.27,1.0,25%,15:00,both
735,Chris Camozzi,109,24.0,13.0,0,"6' 2""",185 lbs.,"75""",Orthodox,"Nov 20, 1986",3.57,44%,2.96,56%,0.27,19%,57%,0.5,24.0,13.0,0.0,75.0,76.0,36.0,"Alameda, United States",45%,800 of 1780,19%,4 of 21,3.57,0.27,56%,0.07,2.96,0.47,58%,11:48,both
736,Chris Cariaso,Kamikaze,17.0,8.0,0,"5' 3""",125 lbs.,"64""",Southpaw,"May 27, 1981",3.35,43%,2.23,61%,1.11,39%,57%,0.8,17.0,8.0,0.0,63.0,63.0,42.0,United States,44%,721 of 1640,39%,,3.35,1.11,61%,0.0,2.23,0.84,58%,12:28,both
737,Chris Clements,The Menace,12.0,6.0,0 (1 NC),"5' 10""",170 lbs.,"70""",Orthodox,"Feb 09, 1976",3.2,49%,2.37,44%,0.0,0%,32%,0.3,12.0,5.0,0.0,70.0,70.0,47.0,Canada,50%,165 of 331,0%,,3.2,0.0,45%,0.58,2.37,0.29,32%,10:19,both
739,Chris Condo,136,0.0,1.0,0,"6' 0""",335 lbs.,--,Orthodox,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,0.0,0.0,,,United States,,,46%,7 of 26,,,,,,,,,both
740,Chris Cope,CMurder,8.0,4.0,0,"6' 0""",170 lbs.,"72""",Orthodox,"Mar 05, 1983",3.96,26%,4.82,50%,0.0,0%,80%,0.0,5.0,4.0,0.0,0.0,,40.0,"Carmel Valley, United States",26%,87 of 330,0%,,3.96,0.0,50%,0.0,4.82,0.0,80%,07:20,both
