name,nickname,wins,losses,draws,height,weight,reach,stance,dOB,sig_strikes_landed_per_min,sig_striking_accuracy_%,sig_strike_absorbed_per_min,sig_strike_defense(%_of_sig_strikes_not_landed_by_opponent),takedown_average(average_takedown_landed_per_fifteen_min),takedown_accuracy_%,takedown_defense(%_of_opponent_takedown_not_landed),sub_average(average_subs_attempted_per_15_mins)
Chad Cook,,10,12,0,"6' 2""",205 lbs.,--,,"Nov 07, 1979",0.00,0%,0.00,0%,0.00,0%,0%,0.0
TJ Cook,,13,5,0,--,205 lbs.,--,,"Sep 08, 1982",2.30,47%,3.18,54%,1.01,50%,0%,0.0
Dewey Cooper,The Black Cobra,2,1,0,--,205 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Brett Cooper,,23,12,0,"6' 0""",170 lbs.,--,Orthodox,"Jul 02, 1987",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Bill Cooper,,2,1,0,--,155 lbs.,--,,"May 05, 1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Bobby Cooper,Super Duper,12,7,0,"6' 1""",155 lbs.,--,,--,2.87,25%,3.40,59%,0.00,0%,40%,1.0
Amanda Cooper,ABC,3,5,0,"5' 3""",115 lbs.,"64""",Switch,"Oct 22, 1991",3.55,44%,3.20,51%,1.53,38%,28%,1.8
Kit Cope,Havoc,6,7,0,"6' 0""",170 lbs.,--,Orthodox,"Mar 17, 1977",1.18,52%,2.12,35%,0.00,0%,50%,3.5
Chris Cope,C-Murder,8,4,0,"6' 0""",170 lbs.,"72""",Orthodox,"Mar 05, 1983",3.96,26%,4.82,50%,0.00,0%,80%,0.0
Josh Copeland,Cuddly Bear,12,4,0,"6' 1""",265 lbs.,--,Orthodox,"Oct 20, 1982",1.03,31%,3.01,55%,0.00,0%,57%,0.0
Michael Cora,Kookie Monster,4,1,0,"6' 1""",170 lbs.,"77""",Southpaw,"Aug 24, 1989",0.80,28%,0.13,66%,0.00,0%,25%,0.0
Akira Corassani,,12,6,0 (1 NC),"5' 8""",145 lbs.,"68""",Orthodox,"Aug 27, 1982",3.25,45%,4.91,50%,0.70,28%,86%,0.0
Muhsin Corbbrey,,17,9,0,"5' 10""",155 lbs.,--,Orthodox,"May 18, 1978",2.02,34%,5.41,53%,0.00,0%,80%,0.4
Daniel Cormier,DC,22,3,0 (1 NC),"5' 11""",235 lbs.,"72""",Orthodox,"Mar 20, 1979",4.25,52%,2.92,54%,1.83,44%,80%,0.4
Nora Cornolle,,8,1,0,"5' 7""",135 lbs.,"67""",Orthodox,"Dec 06, 1989",3.29,59%,1.26,56%,0.00,0%,50%,0.0
Clint Coronel,,2,5,0,--,155 lbs.,--,,--,4.93,32%,5.60,66%,0.00,0%,66%,0.0
Henry Corrales,,13,3,0,"5' 9""",145 lbs.,--,,--,4.12,41%,5.84,55%,0.00,0%,69%,0.0
Bethe Correia,Pitbull,11,6,1,"5' 5""",135 lbs.,"64""",Orthodox,"Jun 22, 1983",4.37,43%,4.93,56%,0.39,18%,85%,0.0
Wesley Correira,Cabbage,20,16,0,"6' 3""",260 lbs.,--,Orthodox,"Nov 11, 1978",2.60,36%,8.80,40%,0.00,0%,90%,0.0
Waldo Cortes-Acosta,Salsa Boy,12,1,0,"6' 4""",260 lbs.,"78""",Orthodox,"Oct 03, 1991",5.64,48%,3.60,52%,0.55,60%,60%,0.2
Tracy Cortez,,11,1,0,"5' 5""",125 lbs.,"65""",Orthodox,"Dec 10, 1993",4.11,53%,2.79,60%,2.33,46%,75%,0.3
Reyes Cortez Jr.,,7,3,0,"5' 7""",135 lbs.,"68""",Orthodox,"Jul 31, 1992",4.10,45%,7.43,52%,1.50,11%,100%,0.0
Chad Corvin,The Brave Warrior,5,0,0,"6' 5""",255 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Louis Cosce,,7,2,0,"5' 9""",170 lbs.,"71""",Orthodox,"Aug 27, 1995",4.31,45%,5.35,47%,1.04,20%,50%,0.5
Orion Cosce,Galaxy,8,2,0,"5' 11""",170 lbs.,"71""",Switch,"Jul 15, 1994",2.77,53%,4.02,44%,1.92,40%,61%,0.0
Miguel Cosio,,1,13,0,"6' 4""",205 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jadson Costa,,22,8,0 (1 NC),"5' 7""",155 lbs.,--,Orthodox,--,0.20,50%,3.05,50%,0.00,0%,0%,0.0
Guilherme Costa,The Prodigy,7,1,0,--,155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Paulo Costa,The Eraser,14,4,0,"6' 1""",185 lbs.,"72""",Orthodox,"Apr 21, 1991",6.22,58%,6.56,49%,0.36,75%,80%,0.0
Randy Costa,The Zohan,6,4,0,"5' 9""",135 lbs.,"73""",Switch,"Jul 06, 1994",6.53,46%,7.58,58%,0.00,0%,50%,0.0
Alessandro Costa,Nono,14,4,0,"5' 4""",125 lbs.,"67""",Orthodox,"Jan 28, 1996",4.14,47%,3.50,57%,0.27,12%,90%,0.0
Melquizael Costa,Melk Cauthy,21,7,0,"5' 10""",145 lbs.,"71""",Southpaw,"Sep 14, 1996",3.46,46%,2.29,58%,2.50,35%,52%,1.1
Oscar Cota,Elevation,11,3,0 (1 NC),"6' 0""",230 lbs.,"72""",Orthodox,"Oct 15, 1984",0.33,41%,2.47,41%,0.00,0%,60%,1.0
Patrick Cote,The Predator,23,11,0,"5' 11""",170 lbs.,"75""",Orthodox,"Feb 29, 1980",2.81,48%,3.21,48%,0.68,20%,43%,0.2
JC Cottrell,,17,5,0,"5' 9""",155 lbs.,--,Orthodox,"Nov 04, 1989",0.79,25%,2.75,45%,0.79,100%,50%,0.0
JR Coughran,Bam Bam,4,1,0,"5' 6""",145 lbs.,--,Orthodox,"May 17, 1994",12.29,57%,6.80,45%,0.00,0%,75%,0.0
Rashad Coulter,Daywalker,9,4,0,"5' 11""",205 lbs.,"76""",Orthodox,"Nov 27, 1981",4.82,56%,6.68,50%,0.00,0%,62%,0.0
Dave Courchaine,,20,7,0,"5' 8""",170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Randy Couture,The Natural,19,11,0,"6' 1""",205 lbs.,"75""",Orthodox,"Jun 22, 1963",2.85,57%,1.53,59%,2.78,46%,58%,0.5
Kim Couture,Sugar Free,3,8,0,"5' 8""",135 lbs.,--,Orthodox,"Dec 18, 1975",12.12,80%,2.31,69%,0.00,0%,0%,0.0
Ryan Couture,,11,5,0,"5' 10""",155 lbs.,"73""",Orthodox,"Aug 27, 1982",3.54,45%,2.87,54%,1.55,29%,46%,1.3
Nikk Covert,The Brick,3,4,0,"5' 8""",185 lbs.,--,,"Aug 04, 1969",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Colby Covington,Chaos,17,4,0,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 22, 1988",3.88,38%,2.98,55%,3.79,44%,67%,0.2
Hailey Cowan,All Hail,7,3,0,"5' 8""",135 lbs.,"67""",Southpaw,"Feb 12, 1992",2.97,42%,3.17,34%,1.50,33%,80%,0.0
Jeff Cox,The Grinder,10,7,0,"5' 10""",155 lbs.,--,Orthodox,"Aug 02, 1968",0.56,25%,1.69,33%,4.23,50%,80%,0.0
Nathan Coy,Soulforce,15,7,0,"5' 10""",170 lbs.,"69""",Southpaw,"Jul 24, 1978",3.88,52%,2.40,61%,3.17,47%,50%,0.0
Andrew Craig,Highlight,9,4,0,"6' 1""",170 lbs.,"76""",Orthodox,"Jan 15, 1986",2.39,40%,3.01,50%,0.53,37%,72%,0.0
Paul Craig,Bearjew,17,8,1,"6' 3""",185 lbs.,"76""",Orthodox,"Nov 27, 1987",2.45,46%,2.97,44%,1.68,20%,37%,1.6
Dan Cramer,,11,4,0,"6' 2""",170 lbs.,--,Orthodox,"Oct 31, 1985",0.97,30%,2.10,31%,0.00,0%,66%,0.5
Alberto Crane,,15,5,0,"5' 5""",155 lbs.,--,Orthodox,"Jul 14, 1976",0.43,25%,2.61,57%,0.00,0%,50%,4.0
Tim Credeur,,12,4,0,"6' 3""",185 lbs.,"75""",Orthodox,"Jul 09, 1977",3.59,30%,3.13,57%,0.41,100%,50%,3.3
Paul Creighton,,3,1,0,"5' 6""",155 lbs.,--,Southpaw,"Jun 04, 1970",0.72,75%,4.65,30%,5.37,37%,0%,0.0
Helena Crevar,,0,0,0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alexander Crispim,,8,6,0,--,145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alex Crispin,,0,1,0,--,155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Kevin Croom,Crash,21,15,0 (1 NC),"5' 11""",135 lbs.,"73""",Orthodox,"Jul 15, 1987",2.65,34%,3.10,41%,0.48,5%,30%,0.5
Kiefer Crosbie,BDK,10,4,0,"5' 11""",170 lbs.,"70""",Switch,"Apr 05, 1990",8.10,66%,6.02,50%,0.00,0%,0%,0.0
Ken Cross,The Boss,11,3,0,"6' 0""",155 lbs.,"72""",Southpaw,"Oct 04, 1994",2.20,57%,1.40,55%,1.00,12%,66%,0.0
Jeff Crotty,,1,1,0,--,155 lbs.,--,,--,0.93,35%,3.33,54%,5.00,38%,0%,1.0
Allen Crowder,Pretty Boy,10,4,0 (1 NC),"6' 3""",245 lbs.,"76""",Orthodox,"Nov 08, 1989",2.95,51%,2.95,56%,1.85,33%,100%,1.2
Daron Cruickshank,Detroit Superstar,18,10,0 (1 NC),"5' 8""",155 lbs.,"72""",Switch,"Jun 11, 1985",2.88,38%,2.98,57%,2.04,41%,60%,0.2
Richard Crunkilton,Cleat,19,4,0,"5' 7""",155 lbs.,--,Orthodox,"Nov 25, 1979",1.72,41%,1.45,58%,4.08,61%,65%,1.3
Jimmy Crute,,12,4,1,"6' 2""",205 lbs.,"74""",Orthodox,"Mar 04, 1996",3.68,54%,3.04,44%,4.84,57%,60%,2.0
Marcio Cruz,Pe de Pano,8,3,0,"6' 4""",232 lbs.,--,Orthodox,"Apr 24, 1978",2.92,46%,1.51,68%,0.53,7%,37%,1.6
Dominick Cruz,The Dominator,24,4,0,"5' 8""",135 lbs.,"68""",Orthodox,"Mar 09, 1985",3.91,33%,2.61,70%,2.82,42%,83%,0.1
Aalon Cruz,,8,4,0,"6' 0""",145 lbs.,"78""",Switch,"Sep 20, 1989",7.58,39%,8.88,58%,0.00,0%,0%,0.0
Timmy Cuamba,Twilight,8,3,0,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 08, 1999",3.00,40%,4.38,60%,1.00,27%,71%,0.0
Jay Cucciniello,,8,1,0,"5' 7""",155 lbs.,--,Orthodox,"Jul 23, 1986",0.93,21%,4.73,36%,0.00,0%,71%,0.0
Emilio Cuellar,Show Kid,6,1,0,--,125 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Josh Culibao,Kuya,11,3,1,"5' 10""",145 lbs.,"73""",Orthodox,"May 24, 1994",3.20,42%,3.24,56%,0.00,0%,67%,0.3
Chris Culley,,20,15,0,--,145 lbs.,--,,"Mar 25, 1986",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Abel Cullum,The Silent Assassin,20,6,0,"5' 7""",139 lbs.,--,Orthodox,"Apr 21, 1987",1.82,40%,1.23,46%,4.01,52%,0%,2.8
Zak Cummings,,25,7,0,"6' 0""",205 lbs.,"75""",Southpaw,"Aug 02, 1984",2.96,35%,2.91,55%,0.62,28%,66%,0.6
Everett Cummings,,12,0,0,--,205 lbs.,--,,--,0.43,60%,4.34,45%,0.00,0%,0%,2.2
Patrick Cummins,Durkin,10,7,0,"6' 2""",205 lbs.,"76""",Orthodox,"Nov 16, 1980",4.26,50%,3.35,55%,4.49,41%,28%,0.1
Luke Cummo,,6,6,0,"6' 0""",170 lbs.,"74""",Orthodox,"Apr 27, 1980",1.74,43%,1.50,59%,0.89,55%,42%,1.4
Hugo Cunha,Silverback,6,0,0,"6' 4""",250 lbs.,--,,"Feb 04, 1993",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alton Cunningham,The Bo-Man,4,2,0,"6' 2""",205 lbs.,"77""",Orthodox,"Jun 24, 1993",3.33,75%,4.94,20%,1.67,10%,100%,0.0
AJ Cunningham,The Savage,11,4,0,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 07, 1994",7.66,29%,11.90,48%,0.00,0%,33%,0.0
Santo Curatolo,,6,2,0,"5' 3""",125 lbs.,"62""",Southpaw,"Jan 18, 1995",1.40,39%,6.07,34%,2.00,33%,100%,0.0
Larry Cureton,,0,2,0,"6' 2""",240 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jeff Curran,Big Frog,36,18,1,"5' 6""",135 lbs.,"69""",Orthodox,"Sep 02, 1977",1.54,31%,2.48,60%,0.35,12%,35%,1.2
Kailin Curran,,4,5,0,"5' 4""",115 lbs.,"65""",Orthodox,"Apr 11, 1991",3.89,43%,4.75,53%,2.00,57%,61%,0.6
Pat Curran,Paddy Mike,22,7,0,"5' 9""",145 lbs.,--,,"Aug 31, 1987",4.70,58%,4.40,63%,2.50,62%,66%,0.0
William Currie,Drago,12,3,0,--,185 lbs.,--,,"Nov 12, 1998",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Chris Curtis,Action-Man,31,11,0 (1 NC),"5' 10""",185 lbs.,"75""",Orthodox,"Jul 15, 1987",5.76,51%,6.16,52%,0.00,0%,82%,0.0
Ion Cutelaba,The Hulk,17,10,1 (1 NC),"6' 1""",205 lbs.,"75""",Southpaw,"Dec 14, 1993",4.44,43%,3.43,47%,4.17,57%,76%,0.0
Gleidson Cutis,Poney,7,4,0,"5' 9""",155 lbs.,--,Orthodox,"Feb 07, 1989",2.99,52%,8.28,59%,0.00,0%,0%,0.0
Sarah D'alelio,The Monster,11,7,0,"5' 7""",145 lbs.,--,,"Dec 13, 1980",2.40,33%,0.00,100%,0.00,0%,100%,0.0
Marcos da Matta,Parrumpinha,11,3,0,"5' 4""",145 lbs.,--,,"Mar 18, 1973",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Henrique da Silva,Frankenstein,14,5,0,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 01, 1989",3.89,60%,5.28,40%,0.25,14%,22%,0.2
Ariane da Silva,Queen of Violence,17,9,0,"5' 6""",125 lbs.,"67""",Orthodox,"Jan 26, 1994",4.10,41%,3.96,53%,0.56,55%,71%,0.3
Alex Da Silva,Leko,21,4,0,"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996",2.14,46%,2.52,56%,1.97,43%,76%,0.3
Henrique Da Silva Lopes,Montanha,5,2,0,"6' 3""",240 lbs.,--,,"Mar 08, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Nicolas Dalby,Danish Dynamite,23,4,1 (2 NC),"5' 11""",170 lbs.,"74""",Orthodox,"Nov 16, 1984",4.03,43%,3.43,52%,1.11,30%,60%,0.1
Paul Daley,Semtex,39,15,2,"5' 9""",170 lbs.,"76""",Orthodox,"Feb 21, 1983",3.14,47%,2.37,60%,0.91,40%,64%,0.0
Dave Dalgliesh,,30,19,2,"6' 2""",205 lbs.,--,Orthodox,"Apr 05, 1978",0.00,0%,1.85,50%,0.00,0%,0%,0.0
Richard Dalton,,4,3,1,"6' 1""",205 lbs.,--,Orthodox,--,1.20,69%,3.27,25%,1.00,11%,0%,0.0
Aisling Daly,Ais the Bash,16,6,0,"5' 2""",115 lbs.,"64""",Orthodox,"Dec 24, 1987",2.92,52%,1.40,55%,2.15,41%,33%,0.9
Marko Damiani,,0,2,0,"6' 0""",170 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Leonardo Damiani,Puppy,10,3,1,"5' 10""",170 lbs.,"69""",Orthodox,"Aug 30, 1990",1.67,23%,4.17,37%,0.00,0%,50%,0.0
Rodrigo Damm,,13,9,0,"5' 7""",155 lbs.,"71""",Orthodox,"Feb 03, 1980",3.50,36%,5.61,57%,0.44,16%,80%,0.3
Carina Damm,Beauty But the Beast,2,13,0,"5' 4""",135 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Batgerel Danaa,Storm,12,5,0,"5' 7""",135 lbs.,"70""",Orthodox,"Jul 04, 1989",5.38,36%,4.21,47%,0.52,50%,62%,0.0
Cindy Dandois,Battlecat,8,3,0,"5' 7""",135 lbs.,--,Orthodox,"Oct 26, 1984",3.13,32%,3.40,58%,5.00,55%,0%,0.0
Peter Danesoe,The Asian Viking,6,3,0,"5' 9""",125 lbs.,"68""",Orthodox,"Sep 01, 2000",4.98,54%,7.02,37%,0.00,0%,62%,0.0
Jarjis Danho,Man Mountain,7,1,1 (1 NC),"6' 3""",265 lbs.,"74""",Orthodox,"Oct 15, 1983",3.38,50%,5.25,49%,0.51,16%,100%,0.0
Raymond Daniels,,0,1,0,"6' 2""",185 lbs.,--,Southpaw,--,0.00,0%,2.61,38%,0.00,0%,33%,3.0
Marques Daniels,,5,5,0,--,155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Anvarbek Daniyalbekov,,8,0,0,--,185 lbs.,--,,"May 27, 1995",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alexandre Dantas,Cafe,0,3,0,"6' 2""",238 lbs.,--,Orthodox,"Mar 01, 1979",0.21,25%,1.87,60%,0.00,0%,0%,3.1
Eduardo Dantas,Dudu,20,4,0,"5' 10""",135 lbs.,--,,"Feb 03, 1989",3.33,60%,3.00,60%,4.00,23%,100%,0.0
Mac Danzig,,21,12,1,"5' 8""",155 lbs.,"70""",Orthodox,"Jan 02, 1980",3.39,48%,3.44,57%,1.20,37%,46%,0.6
Karen Darabedyan,,13,6,0,"5' 7""",155 lbs.,"68""",Orthodox,"Dec 18, 1986",3.43,51%,2.62,67%,2.14,75%,0%,0.0
Beneil Dariush,,22,6,1,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",3.78,48%,2.65,57%,1.90,34%,80%,0.9
Sean Daugherty,,0,2,0,"6' 0""",175 lbs.,--,,"Dec 04, 1975",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Kyle Daukaus,,11,4,0 (1 NC),"6' 3""",185 lbs.,"76""",Southpaw,"Feb 27, 1993",3.22,52%,2.94,42%,2.12,25%,82%,1.9
Chris Daukaus,,12,7,0,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 25, 1989",6.05,50%,4.64,55%,0.00,0%,100%,0.0
Brian Davidson,,13,4,0,"5' 6""",145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rick Davis,The Flying Squirrel,3,1,1,"5' 9""",155 lbs.,--,Orthodox,--,3.09,50%,6.19,64%,0.00,0%,0%,0.0
Marcus Davis,The Irish Hand Grenade,22,11,0 (1 NC),"5' 10""",170 lbs.,"70""",Southpaw,"Aug 24, 1973",2.72,39%,2.79,65%,1.60,48%,47%,1.4
LC Davis,,23,8,0,"5' 8""",135 lbs.,"69""",Southpaw,"Oct 28, 1980",2.04,30%,2.10,59%,2.27,46%,66%,0.2
Phil Davis,Mr. Wonderful,17,4,0 (1 NC),"6' 2""",205 lbs.,"79""",Orthodox,"Sep 25, 1984",2.85,34%,1.33,72%,2.99,38%,72%,0.6
Lemont Davis,,2,6,0,"5' 8""",170 lbs.,--,Orthodox,--,0.87,54%,1.27,55%,1.00,50%,0%,1.0
Mike Davis,,2,0,0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Justin Davis,Dangerous,13,16,0,"5' 11""",205 lbs.,--,,"Apr 01, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alexis Davis,,21,11,0,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 04, 1984",4.63,49%,4.45,54%,0.95,44%,34%,0.7
Danny Davis,,13,11,1,"6' 2""",170 lbs.,--,,"Jul 28, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Brandon Davis,Killer B,14,10,0,"5' 10""",135 lbs.,"72""",Orthodox,"May 08, 1990",4.68,35%,4.62,58%,0.74,42%,57%,0.1
Mike Davis,Beast Boy,11,2,0,"6' 0""",155 lbs.,"72""",Orthodox,"Oct 07, 1992",5.35,52%,5.76,55%,2.77,53%,64%,0.4
Hakeem Dawodu,Mean,13,4,1,"5' 8""",145 lbs.,"73""",Orthodox,"Jul 02, 1991",5.45,50%,3.37,56%,0.00,0%,65%,0.0
Grant Dawson,KGD,21,2,1,"5' 10""",155 lbs.,"72""",Switch,"Feb 20, 1994",2.98,52%,2.11,45%,3.61,38%,57%,1.3
Jason Day,Dooms,19,12,0,"6' 0""",185 lbs.,"72""",Orthodox,"May 19, 1981",3.61,54%,3.46,47%,1.13,100%,0%,0.0
Martin Day,The Spartan,8,6,0,"5' 10""",145 lbs.,"73""",Orthodox,"Nov 10, 1988",3.97,45%,3.79,53%,0.72,60%,65%,0.5
Angel De Anda,The Dream,18,6,0,"5' 9""",225 lbs.,--,Orthodox,"May 28, 1985",5.68,46%,6.32,47%,0.00,0%,0%,0.0
Yorgan De Castro,The Mad Titan,6,3,0,"6' 0""",250 lbs.,"74""",Orthodox,"Dec 19, 1986",2.46,43%,3.85,53%,0.00,0%,77%,0.0
Geraldo de Freitas,Spartan,12,6,0,"5' 7""",135 lbs.,"72""",Orthodox,"Sep 30, 1991",3.67,52%,2.62,50%,3.00,45%,59%,0.0
Philip De Fries,,12,6,0 (1 NC),"6' 5""",250 lbs.,"79""",Orthodox,"Apr 21, 1986",2.30,47%,3.00,37%,3.29,42%,100%,0.6
Chris de la Rocha,,5,3,0,"6' 3""",250 lbs.,"80""",Orthodox,"May 15, 1979",4.08,45%,6.37,43%,2.02,30%,33%,1.0
Montana De La Rosa,,13,9,1,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 14, 1995",2.90,37%,3.39,45%,1.85,33%,68%,0.8
Mark De La Rosa,Bumblebee,11,5,0,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 31, 1994",3.13,35%,5.00,48%,0.54,13%,40%,0.2
Mike de la Torre,El Cucuy,14,7,0 (1 NC),"5' 11""",145 lbs.,"71""",Orthodox,"Sep 22, 1986",3.21,39%,4.75,51%,0.36,16%,83%,0.0
Rodrigo de Lima,Monstro,8,3,1,"5' 7""",155 lbs.,--,Orthodox,"Mar 12, 1991",1.29,33%,5.50,32%,2.66,36%,0%,1.3
Edilberto de Oliveira,Crocota,29,15,2,"6' 0""",170 lbs.,--,Orthodox,"Nov 22, 1982",4.12,32%,6.79,61%,0.00,0%,0%,0.0
Johil de Oliveira,,17,15,1 (1 NC),"5' 6""",170 lbs.,--,Orthodox,--,0.51,34%,0.73,58%,1.10,50%,44%,0.6
Jorge de Oliveira,Blade,9,2,0,"5' 8""",155 lbs.,--,Orthodox,"Jan 22, 1980",1.26,31%,4.84,48%,0.00,0%,22%,0.0
Isabela de Padua,Belinha,5,2,0,"5' 3""",125 lbs.,"64""",Orthodox,"Sep 04, 1991",1.00,35%,2.07,50%,2.00,66%,0%,1.0
Gloria de Paula,Glorinha,6,5,0,"5' 5""",115 lbs.,"67""",Orthodox,"Jun 10, 1995",4.89,53%,3.77,66%,0.74,37%,65%,0.5
Germaine de Randamie,The Iron Lady,10,5,0,"5' 9""",135 lbs.,"71""",Orthodox,"Apr 24, 1984",2.57,46%,2.00,65%,0.00,0%,65%,0.4
Crezio de Souza,,1,2,0,--,170 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Carl Deaton,The Anishinaabe Kid,17,7,0 (2 NC),"5' 7""",155 lbs.,"69""",Orthodox,"Nov 24, 1989",1.53,31%,1.85,61%,0.00,0%,50%,0.0
Tom DeBlass,,9,2,0,"6' 0""",185 lbs.,--,Orthodox,"May 14, 1982",1.50,35%,4.43,37%,1.00,50%,28%,0.5
Issac DeJesus,,12,7,1 (1 NC),--,145 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rafael  Del Real,,6,20,0,"5' 11""",225 lbs.,--,,--,5.58,40%,0.00,0%,20.93,100%,100%,0.0
Shane del Rosario,,11,2,0,"6' 4""",250 lbs.,--,Southpaw,"Sep 23, 1983",3.93,60%,2.97,54%,1.20,40%,16%,2.4
Wallen Del Rosario,,8,2,0,"5' 4""",125 lbs.,"67""",Orthodox,"Mar 18, 1993",1.40,32%,4.73,40%,1.00,16%,100%,0.0
Humberto DeLeon,,7,7,0,--,135 lbs.,--,,"Nov 12, 1989",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rolando Delgado,Roli,11,6,1,"6' 3""",155 lbs.,"77""",Orthodox,"Nov 22, 1981",1.56,40%,1.83,62%,1.17,22%,0%,3.5
Israel Delgado,,0,2,0,"5' 10""",155 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ante Delija,Walking Trouble,17,3,0,"6' 4""",245 lbs.,--,Orthodox,"Aug 07, 1990",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jack Della Maddalena,,17,2,0,"5' 11""",170 lbs.,"73""",Switch,"Sep 10, 1996",6.74,53%,4.27,66%,0.21,16%,70%,0.2
Roland Delorme,,9,5,0 (1 NC),"5' 9""",135 lbs.,"71""",Orthodox,"Dec 18, 1983",2.28,44%,4.32,40%,2.51,34%,42%,1.6
Jon Delos Reyes,The Heat,8,5,0,"5' 6""",125 lbs.,"67""",Orthodox,"Aug 19, 1987",2.99,38%,4.14,51%,3.20,83%,55%,1.9
Jason DeLucia,,33,21,1,"5' 11""",190 lbs.,--,Southpaw,"Jul 24, 1969",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Justin DeMoney,,15,7,1,--,170 lbs.,--,,"Jul 01, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Vanessa Demopoulos,Lil Monster,11,5,0,"5' 2""",115 lbs.,"59""",Orthodox,"Sep 22, 1988",3.98,41%,5.69,41%,0.42,11%,30%,0.6
Chris Dempsey,,11,5,0,"5' 10""",185 lbs.,"72""",Orthodox,"Sep 08, 1987",2.25,32%,2.82,65%,2.64,23%,16%,0.0
Nick Denis,The Ninja of Love,11,3,0,"5' 7""",135 lbs.,--,Orthodox,"Oct 11, 1983",6.54,53%,5.42,36%,2.80,100%,80%,0.0
Thomas Denny,The Wildman,27,21,1,"5' 10""",170 lbs.,--,Orthodox,"Apr 19, 1971",2.36,45%,4.69,40%,1.48,17%,42%,1.5
Robert Densley,The Wrecker,9,10,0,"5' 9""",155 lbs.,--,,--,1.81,47%,0.40,60%,0.00,0%,50%,0.0
Jason Dent,Dynamite,22,13,0,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 12, 1980",2.01,39%,3.70,62%,0.00,0%,26%,1.4
Mackenzie Dern,,13,5,0,"5' 4""",115 lbs.,"63""",Orthodox,"Mar 24, 1993",3.31,40%,4.09,51%,0.79,15%,28%,1.3
Booker DeRousse,,6,5,0,"6' 2""",205 lbs.,--,,"Mar 23, 1981",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tony DeSouza,,11,4,0,"6' 0""",170 lbs.,"70""",Southpaw,"Jul 26, 1974",1.12,52%,1.57,41%,2.25,42%,40%,1.5
Robelis Despaigne,The Big Boy,5,1,0,"6' 7""",265 lbs.,"84""",Orthodox,"Sep 09, 1988",2.16,54%,3.53,49%,0.00,0%,25%,0.0
Cory Devela,The One,16,7,0,"5' 0""",185 lbs.,--,Orthodox,--,4.07,41%,4.00,47%,1.07,12%,62%,0.0
John Devine,,6,4,0,--,--,--,,--,1.52,18%,2.28,57%,0.00,0%,0%,0.0
