name,wins,losses,draws,height,reach,age,nation,sig_str_accuracy,sig_str_totals,takedown_accuracy,takedown_totals,sig_str_per_minute,takedown_avg_per_fifteen,sig_str_defense,knockdown_avg,sig_str_absorbed_per_min,submission_avg_per_fifteen,takedown_defense,avg_fight_time
Michal Figlak,8,1,0,70.00,70.00,26,"Poznań, Poland",29%,28 of 96,20%,1 of 5,1.87,1.00,44%,0.00,4.00,0.00,57%,15:00
Francisco Figueiredo,13,5,1,66.00,68.00,33,"Soure, Brazil",62%,73 of 118,75%,6 of 8,2.04,2.51,62%,0.00,2.59,0.42,76%,08:58
Deiveson Figueiredo,22,3,1,65.00,68.00,35,"Soure, Brazil",56%,561 of 1008,44%,7 of 45,3.08,1.65,51%,0.91,3.46,1.65,59%,12:08
Edwin Figueroa,9,4,0,67.00,69.00,38,United States,39%,193 of 489,100%,,2.57,0.20,52%,0.40,3.06,0.60,37%,12:32
Jafel Filho,15,3,0,67.00,68.50,30,"Sento Sé, Brazil",37%,59 of 159,27%,,2.00,1.53,45%,0.51,2.31,2.04,56%,09:50
Andre Fili,23,10,0,71.00,74.00,33,"Federal Way, United States",38%,873 of 2322,48%,23 of 69,3.86,2.19,52%,0.40,4.11,0.27,69%,10:47
Luigi Fioravanti,13,5,0,68.00,,42,"Orlando, United States",43%,214 of 499,63%,,2.23,3.76,70%,0.31,2.21,0.94,68%,10:39
Nick Fiore,6,2,0,70.00,72.00,25,"Lowell, United States",46%,85 of 183,45%,1 of 11,2.83,2.50,43%,0.00,7.93,0.00,71%,15:00
Manon Fiorot,11,1,0,67.00,65.00,33,"Nice, France",52%,495 of 943,33%,1 of 21,4.71,1.00,51%,0.00,3.36,0.29,65%,15:00
Spencer Fisher,25,9,0,67.00,68.00,47,United States,44%,637 of 1464,30%,,3.17,0.67,64%,0.22,3.03,0.75,60%,11:49
Chris Fishgold,18,4,1,68.00,68.00,31,"Liverpool, United Kingdom",32%,70 of 217,46%,1 of 13,2.01,2.59,47%,0.00,2.70,1.29,44%,08:42
Jon Fitch,27,5,1,72.00,74.00,45,"Fort Wayne, United States",51%,630 of 1225,55%,,2.64,3.64,54%,0.13,1.75,0.88,56%,13:17
Isi Fitikefu,0,0,0,,,30,New Zealand,,,55%,,,,,,,,,
Rafael Fiziev,12,3,0,68.00,71.50,30,Kyrgyzstan,52%,515 of 997,40%,,4.90,0.29,49%,0.29,4.97,0.00,89%,11:41
Colin Fletcher,9,3,0,74.00,,40,United Kingdom,35%,93 of 268,0%,,3.10,0.00,62%,0.00,2.97,0.00,27%,15:00
AJ Fletcher,10,3,0,70.00,67.00,26,"Baton Rouge, United States",50%,163 of 329,36%,4 of 14,3.36,1.54,47%,0.31,4.61,0.93,33%,09:43
Jimmy Flick,16,7,0,67.00,68.00,32,"Tulsa, United States",51%,54 of 106,27%,,1.99,1.66,39%,0.00,5.05,4.42,,06:47
Luke Flores,7,2,0,72.00,,35,"Mission, United States",44%,20 of 45,0%,,1.56,0.00,61%,0.00,1.88,1.17,40%,05:03
Alejandro Flores,0,1,0,,,31,,41%,29 of 71,0%,,3.66,0.00,54%,0.00,2.02,0.00,,07:55
Ty Flores,0,1,0,,,29,"St. Louis, United States",38%,30 of 80,9%,,2.00,1.00,25%,0.00,7.80,0.00,,15:00
Kenny Florian,16,6,0,70.00,74.00,47,"Westwood , United States",40%,456 of 1139,33%,,2.41,2.22,64%,0.08,1.85,1.27,60%,10:32
Darrius Flowers,12,6,1,69.00,72.00,28,"Chicago, United States",57%,37 of 65,33%,1 of 3,4.19,1.70,40%,0.00,7.02,0.00,100%,04:25
Caros Fodor,7,3,0,69.00,76.00,39,"Redmond, United States",51%,47 of 92,23%,,3.13,3.00,54%,0.00,5.40,0.00,50%,15:00
Rob Font,20,8,0,68.00,71.50,36,"Leominster, United States",46%,1206 of 2636,35%,5 of 37,5.53,0.89,56%,0.48,3.65,0.34,46%,12:50
Jesse Forbes,13,6,0,74.00,,38,"Portland, United States",24%,53 of 217,75%,,2.11,1.79,54%,0.60,4.06,1.19,67%,06:17
Jussier Formiga,23,8,0,65.00,67.00,38,"State of Rio Grande do Norte, Brazil",40%,257 of 649,35%,15 of 62,1.42,1.82,64%,0.17,2.34,0.58,87%,11:18
Brianna Fortino,9,3,0,60.00,62.00,29,"Gilroy, United States",42%,106 of 255,45%,3 of 11,3.53,2.50,57%,0.00,3.23,0.00,67%,15:00
Marcel Fortuna,9,3,0,73.00,74.00,37,"State of Santa Catarina, Brazil",47%,127 of 273,8%,1 of 12,3.83,0.45,65%,0.45,4.52,0.45,75%,11:03
Brian Foster,17,5,0,70.00,73.00,39,"Sallisaw, United States",40%,81 of 203,60%,,3.30,3.67,65%,0.61,1.63,1.83,38%,04:55
Xavier Foupa-Pokam,20,11,0,73.00,,40,"Paris, France",43%,23 of 53,,,1.47,0.00,49%,0.00,2.50,0.00,17%,07:49
Hermes Franca,20,8,0,66.00,,48,"Fortaleza, Brazil",40%,280 of 708,36%,,1.78,1.53,55%,0.38,2.85,2.38,38%,13:07
Glaico Franca,14,5,0,72.00,77.00,32,"Curitibanos, Brazil",43%,105 of 247,42%,,2.35,2.68,47%,0.00,3.46,0.34,77%,14:55
Kai Kara-France,24,11,0,64.00,69.00,30,"Auckland, New Zealand",40%,656 of 1651,33%,,4.57,0.63,65%,0.63,3.24,0.00,88%,13:03
Rich Franklin,29,7,0,73.00,76.00,33,United States,44%,937 of 2126,67%,,4.10,1.31,63%,0.72,2.07,0.66,63%,08:10
Stephanie Frausto,0,1,0,,,32,"Clovis, United States",21%,4 of 19,,,1.43,0.00,60%,0.00,3.57,0.00,,02:48
Justin Frazier,0,1,0,72.00,,34,United States,67%,4 of 6,,,1.11,0.00,4%,0.00,6.11,0.00,,03:36
Zane Frazier,0,2,0,78.00,,,"North Hollywood, United States",67%,4 of 6,,,,,,,,,,00:00
Ian Freeman,14,6,1,71.00,,56,"Sunderland, United Kingdom",49%,53 of 109,40%,,2.54,1.44,45%,0.00,3.11,0.72,80%,06:58
Willamy Freire,17,4,0,68.00,,35,"Fortaleza, Brazil",37%,46 of 124,100%,,1.53,0.50,62%,0.00,0.93,0.00,74%,15:00
Donavon Frelow,6,3,0,66.00,,38,"Los Angeles, United States",28%,36 of 129,100%,,2.40,1.00,52%,0.00,3.20,0.00,26%,15:00
Josh Fremd,11,5,0,76.00,76.00,29,"Evans City, United States",43%,157 of 365,25%,1 of 12,2.93,0.84,48%,0.00,2.63,1.40,32%,10:43
Matt Frevola,11,4,1,69.00,71.00,33,"Huntington, United States",42%,301 of 715,40%,,3.71,2.59,60%,1.30,3.57,0.93,43%,07:22
Jinh Yu Frey,11,10,0,63.00,65.00,38,"Crossett, United States",43%,307 of 710,37%,3 of 19,2.97,1.02,52%,0.00,4.23,0.29,90%,12:54
Artem Frolov,0,0,0,,,31,,,,37%,3 of 19,,,,,,,,
Sarah Frota,9,2,0,66.50,69.00,36,Brazil,53%,125 of 237,0%,,4.52,0.00,56%,0.54,2.57,0.00,54%,09:13
Don Frye,11,1,0,73.00,,57,"Sierra Vista, United States",65%,190 of 294,57%,,2.87,0.91,37%,0.45,3.57,0.68,45%,09:27
Anthony Fryklund,11,4,0,72.00,,52,"Boston, United States",59%,64 of 108,0%,,6.30,0.00,44%,1.48,19.97,1.48,67%,05:05
Adam Fugitt,9,4,0,73.00,77.00,34,"Eugene, United States",54%,94 of 174,33%,1 of 15,4.30,3.43,48%,0.00,5.13,0.00,50%,07:17
Katsuhisa Fuji,0,0,0,0.00,,50,Japan,,,33%,1 of 15,,,,,,,,
Riki Fukuda,19,7,0,72.00,,42,Japan,46%,350 of 757,45%,,4.67,2.60,64%,0.00,4.45,0.00,70%,15:00
Masio Fullen,10,6,0,70.00,70.00,36,"Guadalajara, Mexico",32%,78 of 243,33%,,2.46,0.47,54%,0.00,3.50,0.00,69%,10:34
Travis Fulton,0,0,0,0.00,,46,"Cedar Falls, United States",,,33%,,,,,,,,,
Sam Fulton,0,0,0,0.00,,,United States,,,33%,,,,,,,,,
Ricardo Funch,8,4,0,70.00,,42,"Lencois, Brazil",65%,95 of 146,19%,,2.61,1.24,40%,0.00,3.57,0.00,60%,09:06
Gustavo Gabriel,0,0,0,66.00,,,"Sao Miguel dos Campos, Brazil",65%,39 of 60,0%,,4.06,0.00,46%,0.00,4.26,0.00,50%,09:37
Claudia Gadelha,18,5,0,64.00,63.50,34,"Mossoro, Brazil",42%,590 of 1420,43%,31 of 84,3.31,3.03,57%,0.08,4.57,0.67,59%,14:50
Magomed Gadzhiyasulov,1,0,0,,,29,,47%,73 of 156,86%,,4.87,6.00,74%,0.00,1.60,0.00,100%,15:00
Justin Gaethje,26,4,0,71.00,70.00,34,"Tucson, United States",60%,861 of 1429,25%,,7.35,0.13,54%,0.77,7.50,0.00,75%,09:46
Sheila Gaff,10,6,1,65.00,62.00,33,Germany,50%,10 of 20,,,1.60,0.00,28%,0.00,2.89,0.00,20%,03:07
Muin Gafurov,18,5,0,67.00,68.00,27,Tajikistan,41%,93 of 225,26%,,2.98,2.40,48%,0.00,2.95,0.00,63%,10:24
Mitch Gagnon,12,5,0,65.00,65.50,38,"Sturgeon Falls, Canada",46%,215 of 463,25%,6 of 24,2.76,1.16,62%,0.58,2.21,1.93,66%,09:44
Dave Galera,5,1,0,71.00,,,"Santa Clara, United States",69%,25 of 36,,,1.67,0.00,33%,0.00,0.53,2.00,14%,15:00
Mickey Gall,7,5,0,74.00,74.00,31,"Livingston, United States",46%,255 of 554,30%,4 of 23,2.94,1.21,49%,0.35,4.25,1.90,36%,07:53
Daniel Gallemore,0,0,0,,,,,41%,31 of 75,,,3.10,0.00,52%,0.00,6.00,0.00,,10:00
Tom Gallicchio,19,11,0,70.00,73.00,36,United States,27%,53 of 200,11%,1 of 9,3.53,1.00,44%,0.00,7.07,0.00,,15:00
Joey Gambino,9,2,0,67.00,,34,United States,35%,44 of 124,0%,,2.47,0.00,52%,0.00,2.53,0.84,43%,08:54
Manny Gamburyan,18,11,0,65.00,67.00,42,Armenia,42%,392 of 934,34%,,2.13,3.26,56%,0.16,2.83,0.73,69%,09:41
Mateusz Gamrot,23,2,0,70.00,70.50,32,"Bielsko, Poland",50%,276 of 549,31%,12 of 88,2.97,4.36,60%,0.16,3.17,0.16,91%,11:37
Shamil Gamzatov,14,1,0,74.00,76.00,32,"Dagestan, Russia",48%,99 of 205,0%,,5.35,0.00,52%,0.00,3.46,0.00,50%,09:16
Ariel Gandulla,4,0,1,71.00,,47,United States,23%,31 of 133,67%,,1.95,1.88,73%,0.00,2.07,0.00,,07:58
Ciryl Gane,12,2,0,76.00,81.00,33,"La Roche-sur-Yon, Vendée, France",61%,856 of 1406,21%,,5.49,0.58,63%,0.29,2.19,0.48,50%,14:10
Sean Gannon,1,1,0,75.00,,,"Boston, United States",0%,0 of 3,,,0.00,0.00,29%,0.00,6.38,0.00,50%,04:14
Junye Gao,0,0,0,,,31,,0%,0 of 3,,,,,,,,,,00:00
Luiz Garagorri,13,2,0,69.00,70.00,34,"State of Rio Grande do Sul, Brazil",51%,107 of 209,100%,1 of 1,3.42,0.48,58%,0.00,2.36,0.00,62%,10:26
Cody Garbrandt,14,5,0,68.00,65.50,32,"Uhrichsville, United States",40%,418 of 1035,34%,5 of 29,3.06,1.10,61%,1.21,3.91,0.00,80%,09:45
Elias Garcia,6,2,0,65.50,67.00,30,United States,28%,35 of 127,14%,,1.59,0.68,50%,0.68,5.05,1.36,33%,11:00
Leonard Garcia,19,11,1,0.00,,43,United States,25%,552 of 2234,27%,4 of 15,2.77,0.30,53%,0.30,4.79,0.53,42%,11:42
Alex Garcia,15,5,0,69.00,72.00,35,"Santiago, Dominican Republic",31%,212 of 676,53%,28 of 55,1.81,3.72,59%,0.38,3.03,0.13,67%,11:42
Edgar Garcia,14,5,0,70.00,71.00,39,"San Luis Rio Colorado, Mexico",30%,86 of 289,57%,,3.16,2.21,60%,0.55,4.23,0.55,50%,05:26
Harrison Garcia,,,,,,,,,,57%,,,,,,,,,
Fernie Garcia,10,4,0,67.00,67.00,31,United States,35%,85 of 244,50%,,1.80,0.32,51%,0.32,2.69,0.64,47%,11:48
Rafa Garcia,16,3,0,67.00,70.00,28,"Brawley, United States",43%,418 of 976,44%,12 of 54,4.19,3.61,62%,0.00,4.21,0.30,79%,14:16
Steve Garcia,15,5,0,72.00,75.00,31,"Albuquerque, United States",56%,222 of 393,44%,4 of 9,4.85,1.31,47%,2.62,2.40,0.66,89%,05:44
Pablo Garza,13,4,0,73.00,,39,United States,44%,161 of 365,25%,,3.37,0.94,50%,0.31,2.70,1.26,15%,06:50
Azamat Gashimov,10,3,0,66.00,,33,Russia,22%,11 of 51,25%,,1.24,1.69,53%,0.00,4.75,0.00,,04:26
Brian Gassaway,24,17,3,73.00,,50,"Chicago, United States",27%,4 of 15,,,0.34,0.00,45%,0.00,3.65,0.00,43%,05:53
Kelvin Gastelum,18,9,0,69.00,71.50,32,"San Jose, United States",42%,1058 of 2521,31%,9 of 62,3.55,0.96,58%,0.45,3.23,0.10,59%,13:33
Willie Gates,12,7,0,69.00,70.00,36,"Fontana, United States",39%,67 of 172,,,1.80,0.00,39%,0.81,4.28,0.40,68%,09:18
Melissa Gatto,8,1,2,65.00,69.00,27,"State of São Paulo, Brazil",49%,202 of 414,21%,1 of 19,3.98,1.18,55%,0.30,3.13,0.30,64%,12:41
Louis Gaudinot,6,4,0,63.00,63.00,38,United States,37%,124 of 332,40%,,2.34,0.57,49%,0.00,6.42,1.13,31%,10:37
Manuel Gaxhja,0,0,0,,,25,,,,40%,,,,,,,,,00:00
Shamil Gaziev,12,0,0,76.00,78.50,33,"Dagestan, Russia",52%,53 of 102,,,6.19,0.00,60%,1.75,0.93,1.75,100%,04:17
Paul Georgieff,7,2,0,74.00,,40,"St. Paul, United States",40%,12 of 30,0%,,2.55,0.00,35%,0.00,2.34,0.00,,04:42
Brian Geraghty,24,9,2,67.00,,42,"Pleasant Prairie, United States",25%,1 of 4,,,0.47,0.00,36%,0.00,9.77,0.00,50%,02:09
Karine Gevorgyan,3,3,0,64.00,63.00,34,"Yerevan, Armenia",20%,2 of 10,0%,,1.20,0.00,77%,0.00,1.80,0.00,,01:40
Yanis Ghemmouri,12,2,0,,,28,,38%,28 of 73,0%,,2.27,0.00,41%,0.00,4.22,0.00,,12:20
Darrel Gholar,0,0,0,68.00,,,"North Hollywood, United States",,,0%,,,,,,,,,
Tiki Ghosn,8,5,0,72.00,,45,"Huntington Beach, United States",47%,101 of 217,50%,,2.78,0.41,58%,0.00,2.94,0.00,62%,06:04
Christos Giagos,20,11,0,70.00,71.50,33,"Azusa, United States",42%,336 of 799,37%,1 of 59,2.98,2.93,52%,0.13,2.95,0.40,52%,08:40
Joe Giannetti,7,1,0,72.00,73.50,27,"Boston, United States",39%,29 of 75,17%,1 of 6,1.93,1.00,41%,0.00,2.80,0.00,,15:00
James Giboo,11,3,0,71.00,,45,"Yale, United States",27%,9 of 33,0%,,1.20,0.00,39%,0.00,7.08,0.00,,07:29
Cody Gibson,20,9,0,70.00,71.00,35,United States,45%,264 of 584,36%,5 of 14,4.75,1.35,56%,0.54,4.73,0.27,64%,11:07
Chase Gibson,0,1,0,,,33,"Los Angeles, United States",55%,47 of 86,0%,,3.13,0.00,52%,0.00,6.40,0.00,,15:00
Thomas Gifford,17,9,0,73.00,75.50,30,"Hot Springs, United States",38%,118 of 312,33%,1 of 3,3.97,0.50,37%,0.00,6.45,0.00,33%,14:53
Joe Gigliotti,7,2,0,71.00,69.00,29,"Cleveland, United States",39%,20 of 51,100%,,1.04,1.56,46%,0.00,2.92,0.78,50%,09:36
Joey Gilbert,0,0,0,65.00,,53,United States,43%,3 of 7,0%,,0.61,0.00,31%,0.00,4.44,0.00,,04:57
Trevin Giles,16,5,0,72.00,74.00,30,"San Antonio, United States",54%,385 of 715,55%,5 of 20,2.97,1.27,60%,0.35,2.09,0.35,71%,10:48
Gregor Gillespie,14,1,0,67.00,71.00,36,"Rochester, United States",53%,221 of 418,48%,17 of 56,3.74,6.86,58%,0.51,2.30,0.76,100%,07:23
Jason Gilliam,11,1,0,72.00,,,"Muncie, United States",33%,3 of 9,,,0.79,0.00,43%,0.00,3.14,0.00,,01:55
Micheal Gillmore,6,5,0,71.00,72.00,36,"Lansing, United States",57%,31 of 54,,,2.04,0.00,43%,0.00,3.02,0.00,50%,07:37
Alex Gilpin,10,1,0,,,31,"St. Louis, United States",54%,47 of 87,25%,,6.80,2.17,43%,0.00,12.29,2.17,,06:55
Bob Gilstrap,0,0,0,0.00,,,United States,,,25%,,,,,,,,,
Eperaim Ginting,0,1,0,,,27,"Berastagi, Indonesia",,,25%,,,,,,,,,00:00
He-Man Gipson,0,0,0,0.00,,,"Las Vegas, United States",,,25%,,,,,,,,,
Ricky Glenn,22,8,2,72.00,70.50,34,"Marshalltown, United States",43%,433 of 1006,13%,4 of 30,3.94,0.55,52%,0.41,4.10,0.41,68%,10:59
Mark Godbeer,13,3,0,76.00,77.50,39,"Taunton, United Kingdom",54%,124 of 230,0%,,3.97,0.00,54%,0.00,3.30,0.00,29%,07:49
Loopy Godinez,12,3,0,62.00,61.00,30,"Aguascalientes, Mexico",49%,573 of 1166,47%,15 of 64,4.31,3.39,62%,0.11,3.76,1.13,86%,13:17
Allan Goes,0,0,0,0.00,,,Brazil,,,47%,15 of 64,,,,,,,,
Billy Goff,9,2,0,70.00,,25,"Gulfport, United States",46%,76 of 164,40%,,10.22,4.04,64%,4.04,4.30,0.00,100%,03:43
Amiran Gogoladze,0,1,0,,,25,,67%,2 of 3,0%,,1.64,0.00,,0.00,0.82,0.00,,01:13
Hannah Goldy,6,4,0,64.00,61.00,31,"Boston, United States",47%,354 of 753,12%,,5.19,0.66,51%,0.00,4.67,0.22,55%,11:22
Marcelo Golm,6,3,0,75.00,75.50,30,"State of São Paulo, Brazil",58%,142 of 243,50%,1 of 2,4.27,0.45,46%,0.00,4.30,0.45,88%,08:19
Denise Gomes,8,3,0,62.00,63.00,23,"Santana do Livramento, Brazil",49%,255 of 524,33%,,4.81,1.13,49%,0.57,3.66,0.85,47%,10:36
Luis Gomez,4,1,0,0.00,68.00,28,Cuba,34%,21 of 62,50%,,1.57,4.48,55%,0.00,4.03,0.00,33%,13:23
Joey Gomez,6,2,0,68.00,73.00,36,"Fairfax, United States",29%,59 of 207,100%,,2.44,0.62,55%,0.62,4.46,0.00,50%,12:07
Ulysses Gomez,9,4,0,66.00,,40,United States,25%,51 of 202,0%,,2.72,0.00,69%,0.00,3.57,0.00,,09:23
Joey Gomez,7,0,0,,,33,"Reno, United States",50%,56 of 113,29%,,3.73,2.00,51%,0.00,3.33,0.00,,15:00
Edson Gomez,0,1,0,,,32,,32%,20 of 62,0%,,2.66,0.00,46%,0.00,8.78,0.00,,07:31
Takanori Gomi,35,14,0,67.00,70.00,44,Japan,42%,791 of 1902,65%,1 of 26,3.81,1.23,60%,0.72,3.52,0.80,64%,07:09
William Gomis,13,2,0,72.00,73.00,26,"Montivilliers, France",47%,111 of 237,60%,3 of 5,2.62,1.06,76%,0.00,1.49,0.71,82%,14:07
Akihiro Gono,28,14,7,69.00,,48,United States,53%,90 of 171,80%,,2.35,1.57,64%,0.39,11.35,0.39,46%,12:46
Gabriel Gonzaga,17,11,0,74.00,76.00,44,"Rio De Janeiro, Brazil",45%,318 of 705,39%,,2.12,2.80,57%,0.70,2.94,1.10,67%,06:31
Justin Gonzales,9,0,0,69.00,,32,"Denver, United States",80%,100 of 125,74%,,6.67,14.00,43%,0.00,0.87,0.00,100%,15:00
Pearl Gonzalez,6,2,0,64.50,68.00,36,"Chicago, United States",38%,64 of 170,11%,2 of 18,2.23,1.04,57%,0.00,4.07,0.52,,14:23
Jason Gonzalez,11,5,0,74.00,74.00,33,"Torrance, United States",40%,46 of 116,,,3.06,0.00,59%,0.00,3.13,1.00,30%,03:46
Lewis Gonzalez,10,2,0,70.00,,35,United States,38%,21 of 56,33%,,1.40,2.00,42%,0.00,1.87,0.00,63%,15:00
Jennifer Gonzalez,0,0,0,,,37,,,,33%,,,,,,,,,00:00
Erick Gonzalez,14,8,0,71.00,75.00,31,"Redondo Beach, United States",37%,30 of 82,56%,1 of 9,2.40,6.00,41%,0.00,8.08,0.00,50%,04:10
Mikey Gonzalez,0,1,0,,,37,"San Jose, United States",17%,2 of 12,,,0.91,0.00,11%,0.00,14.55,0.00,,02:12
Jorge Gonzalez,16,4,0,74.00,76.00,39,"Mexico City, Mexico",17%,2 of 12,,,,,,,,,,00:00
Lyman Good,21,6,0,72.00,74.00,38,"New York, United States",49%,293 of 601,100%,1 of 1,5.34,0.27,63%,0.82,4.01,0.00,75%,09:08
Jared Gooden,23,9,0,72.00,77.00,29,United States,49%,342 of 692,100%,2 of 3,5.08,0.67,48%,0.22,6.68,0.22,65%,11:13
Gary Goodridge,0,0,0,0.00,,57,"Barrie, Canada",,,100%,2 of 3,,,,,,,,
Gerard Gordeau,2,1,0,0.00,,64,United States,,,100%,2 of 3,,,,,,,,00:00
Eddie Gordon,8,4,0,72.00,77.00,39,United States,33%,79 of 242,83%,,2.03,1.93,60%,0.39,2.57,0.00,64%,09:44
Tebaris Gordon,3,1,0,73.00,78.00,34,"Gastonia, United States",17%,1 of 6,,,3.53,0.00,22%,0.00,49.41,0.00,,00:17
Malcolm Gordon,14,7,0,67.00,71.00,33,"Calgary, Canada",42%,72 of 170,31%,3 of 13,1.93,1.61,43%,0.00,2.26,0.81,9%,06:13
Jared Gordon,20,6,0,69.00,68.00,35,"New York, United States",58%,830 of 1440,40%,6 of 50,5.39,1.95,58%,0.10,3.40,0.00,63%,11:00
Tresean Gore,5,2,0,72.00,75.00,28,United States,54%,75 of 140,71%,2 of 7,3.04,3.04,47%,0.00,6.13,1.22,82%,08:13
Alex Gorgees,7,1,0,,,,Australia,32%,10 of 31,,,0.67,0.00,38%,0.00,2.27,0.00,55%,15:00
Themba Gorimbo,11,4,0,73.00,77.00,32,"Masvingo, Zimbabwe",59%,39 of 66,50%,2 of 10,1.80,3.47,42%,0.69,1.71,0.00,67%,10:49
Tim Gorman,9,4,0,64.00,68.00,40,United States,32%,82 of 258,10%,,2.73,1.00,47%,0.00,5.57,0.00,33%,15:00
Chase Gormley,6,2,0,75.00,,,"Los Angeles, United States",34%,10 of 29,33%,,2.06,3.09,45%,0.00,17.94,3.09,,02:26
Jonathan Goulet,22,11,0,73.00,,43,"Victoriaville, Canada",42%,81 of 193,70%,,1.61,4.17,46%,0.60,2.00,0.60,45%,05:36
Thibault Gouti,12,5,0,70.00,72.50,36,"Toulouse, France",34%,180 of 522,80%,4 of 5,3.68,1.23,50%,0.31,5.64,0.31,83%,08:09
Wilson Gouveia,12,7,0,73.00,,44,"Fortaleza, Brazil",40%,201 of 503,67%,,3.02,0.90,57%,0.90,4.06,2.25,58%,06:40
Damian Grabowski,20,5,0,73.00,75.00,43,"Opole, Poland",36%,70 of 194,0%,,4.00,0.00,51%,0.00,7.65,0.00,,05:50
Rolles Gracie,3,1,0,76.00,,44,"Rio de Janeiro, Brazil",33%,15 of 46,10%,,2.30,2.30,55%,0.00,3.38,0.00,,06:31
Roger Gracie,6,2,0,76.00,79.00,41,"Rio de Janeiro, Brazil",41%,12 of 29,50%,,0.80,2.00,61%,0.00,6.73,0.00,60%,15:00
Renzo Gracie,13,7,1,70.00,,56,Brazil,41%,160 of 387,21%,,1.71,1.13,56%,0.00,1.67,0.80,40%,13:20
Royce Gracie,13,2,2,73.00,,56,"Rio de Janeiro, Brazil",41%,35 of 85,0%,,0.88,0.00,38%,0.00,1.13,0.76,67%,10:30
Kron Gracie,5,2,0,69.00,70.00,34,"State of Rio de Janeiro, Brazil",45%,120 of 267,25%,1 of 4,3.74,0.47,53%,0.00,6.82,0.47,,10:42
Bogdan Grad,0,1,0,68.00,70.00,27,"Timișoara, Romania",50%,2 of 4,,,1.45,0.00,46%,0.00,9.40,0.00,,01:23
Miranda Granger,7,3,0,67.00,68.00,31,"Seattle, United States",47%,111 of 236,,,2.79,0.00,58%,0.00,2.57,0.00,33%,09:57
Dwight Grant,11,6,0,73.00,76.00,38,"Brooklyn, United States",36%,325 of 898,100%,1 of 4,3.29,0.61,61%,0.61,2.66,0.00,67%,10:58
TJ Grant,21,5,0,71.00,,39,"Calgary, Canada",54%,510 of 944,44%,,3.95,1.63,57%,0.58,3.21,0.58,37%,11:44
Davey Grant,15,7,0,68.00,69.00,37,"Bishop Auckland, United Kingdom",43%,679 of 1584,41%,3 of 29,4.77,1.26,56%,0.42,3.82,0.21,61%,11:52
Alexa Grasso,16,3,1,65.00,66.00,30,"Guadalajara, Mexico",43%,846 of 1963,45%,1 of 11,4.67,0.41,59%,0.08,3.95,0.58,59%,15:06
Tony Gravely,23,9,0,65.00,69.00,31,"Martinsville, United States",48%,382 of 791,42%,5 of 86,3.82,5.40,44%,0.60,4.47,0.30,52%,11:06
Shelton Graves,7,3,0,74.00,76.00,37,"Baltimore, United States",69%,27 of 39,57%,,2.19,4.86,33%,0.00,0.81,0.00,,12:20
Michael Graves,6,0,1,72.00,71.00,32,"Toledo, United States",54%,47 of 87,52%,,1.25,4.80,59%,0.00,1.47,0.40,67%,12:30
James Gray,4,2,0,69.00,,35,"Philadelphia, United States",50%,2 of 4,0%,,2.61,0.00,44%,0.00,18.26,0.00,,00:46
Kevin Gray,9,4,0,64.00,67.00,38,"Topeka, United States",63%,10 of 16,0%,,3.45,0.00,67%,0.00,4.48,0.00,,02:54
Desmond Green,23,8,0,71.00,73.00,33,"Rochester, United States",46%,344 of 746,50%,5 of 20,3.70,1.62,69%,0.16,2.51,0.00,75%,13:16
Gabe Green,11,5,0,70.00,73.00,30,"Los Angeles, United States",45%,341 of 755,50%,2 of 6,6.28,0.83,47%,0.55,6.95,0.28,54%,10:51
Bobby Green,31,15,1,70.00,71.00,37,"San Bernardino, United States",52%,1766 of 3368,38%,6 of 61,6.14,1.20,62%,0.26,3.74,0.31,74%,11:16
Maurice Greene,9,7,0,79.00,82.00,36,"Norfolk, United States",45%,222 of 492,,,3.28,0.00,46%,0.44,3.61,0.44,27%,08:27
Logan Greenhalgh,,,,,,,,45%,222 of 492,,,,,,,,,,
Matt Grice,15,5,0,68.00,,41,United States,53%,252 of 472,38%,,4.09,2.19,56%,0.73,2.69,0.49,82%,08:48
Tyson Griffin,15,6,0,66.00,,39,"Sacramento, United States",42%,624 of 1488,47%,,3.71,1.87,65%,0.18,2.30,0.89,60%,11:12
Max Griffin,19,10,0,71.00,76.00,37,"Santa Barbara, United States",49%,787 of 1596,41%,9 of 46,4.09,1.48,58%,0.62,3.94,0.31,70%,12:50
Forrest Griffin,19,7,0,75.00,,45,"Athens, United States",36%,813 of 2233,48%,,4.38,1.05,61%,0.16,2.81,0.73,57%,10:18
Jordan Griffin,18,9,0,70.00,72.50,33,"Milwaukee, United States",47%,183 of 390,35%,,2.52,1.45,50%,0.21,3.02,1.86,42%,12:06
Chad Griggs,11,3,0,73.00,,,United States,51%,53 of 104,67%,,2.67,1.51,46%,1.51,2.22,0.00,42%,03:58
Charalampos Grigoriou,1,0,0,,,31,Cyprus,65%,13 of 20,,,13.00,0.00,64%,15.00,4.00,0.00,,01:00
Garrett Grimes,,,,,,29,,65%,13 of 20,,,,,,,,,,
Max Grishin,32,10,2,75.00,78.00,39,"Vyazma, Russia",53%,228 of 433,17%,1 of 6,3.26,0.21,59%,0.43,2.27,0.00,67%,14:00
Josh Grispi,14,5,0,71.00,,34,"Boston, United States",42%,77 of 185,37%,,1.44,1.97,50%,0.28,3.71,2.25,17%,06:40
